pair_name,x_column,y_column,n_observations,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,status
finbert_score__return_1d,finbert_score,return_1d,1,,,,,insufficient_sample_size
finbert_score__ar_1d,finbert_score,ar_1d,1,,,,,insufficient_sample_size
finbert_score__return_2d,finbert_score,return_2d,1,,,,,insufficient_sample_size
finbert_score__ar_2d,finbert_score,ar_2d,1,,,,,insufficient_sample_size
finbert_score__return_3d,finbert_score,return_3d,1,,,,,insufficient_sample_size
finbert_score__ar_3d,finbert_score,ar_3d,1,,,,,insufficient_sample_size
finbert_score__return_5d,finbert_score,return_5d,1,,,,,insufficient_sample_size
finbert_score__ar_5d,finbert_score,ar_5d,1,,,,,insufficient_sample_size
finbert_score__return_10d,finbert_score,return_10d,0,,,,,insufficient_sample_size
finbert_score__ar_10d,finbert_score,ar_10d,0,,,,,insufficient_sample_size
lm_tone_score__return_1d,lm_tone_score,return_1d,1,,,,,insufficient_sample_size
lm_tone_score__ar_1d,lm_tone_score,ar_1d,1,,,,,insufficient_sample_size
lm_tone_score__return_2d,lm_tone_score,return_2d,1,,,,,insufficient_sample_size
lm_tone_score__ar_2d,lm_tone_score,ar_2d,1,,,,,insufficient_sample_size
lm_tone_score__return_3d,lm_tone_score,return_3d,1,,,,,insufficient_sample_size
lm_tone_score__ar_3d,lm_tone_score,ar_3d,1,,,,,insufficient_sample_size
lm_tone_score__return_5d,lm_tone_score,return_5d,1,,,,,insufficient_sample_size
lm_tone_score__ar_5d,lm_tone_score,ar_5d,1,,,,,insufficient_sample_size
lm_tone_score__return_10d,lm_tone_score,return_10d,0,,,,,insufficient_sample_size
lm_tone_score__ar_10d,lm_tone_score,ar_10d,0,,,,,insufficient_sample_size
score_difference__return_1d,score_difference,return_1d,1,,,,,insufficient_sample_size
score_difference__ar_1d,score_difference,ar_1d,1,,,,,insufficient_sample_size
score_difference__return_2d,score_difference,return_2d,1,,,,,insufficient_sample_size
score_difference__ar_2d,score_difference,ar_2d,1,,,,,insufficient_sample_size
score_difference__return_3d,score_difference,return_3d,1,,,,,insufficient_sample_size
score_difference__ar_3d,score_difference,ar_3d,1,,,,,insufficient_sample_size
score_difference__return_5d,score_difference,return_5d,1,,,,,insufficient_sample_size
score_difference__ar_5d,score_difference,ar_5d,1,,,,,insufficient_sample_size
score_difference__return_10d,score_difference,return_10d,0,,,,,insufficient_sample_size
score_difference__ar_10d,score_difference,ar_10d,0,,,,,insufficient_sample_size
absolute_difference__return_1d,absolute_difference,return_1d,1,,,,,insufficient_sample_size
absolute_difference__ar_1d,absolute_difference,ar_1d,1,,,,,insufficient_sample_size
absolute_difference__return_2d,absolute_difference,return_2d,1,,,,,insufficient_sample_size
absolute_difference__ar_2d,absolute_difference,ar_2d,1,,,,,insufficient_sample_size
absolute_difference__return_3d,absolute_difference,return_3d,1,,,,,insufficient_sample_size
absolute_difference__ar_3d,absolute_difference,ar_3d,1,,,,,insufficient_sample_size
absolute_difference__return_5d,absolute_difference,return_5d,1,,,,,insufficient_sample_size
absolute_difference__ar_5d,absolute_difference,ar_5d,1,,,,,insufficient_sample_size
absolute_difference__return_10d,absolute_difference,return_10d,0,,,,,insufficient_sample_size
absolute_difference__ar_10d,absolute_difference,ar_10d,0,,,,,insufficient_sample_size
